CSc1ccc(C)c(C(=O)NCC(=O)N(C)C)c1,CSc1ccc(C)c(C(=O)NCC(=O)N(C)C)c1
NC(=O)N1CCCN(C(=O)c2cccc(OCC(F)F)n2)CC1,NC(=O)N1CCCN(C(=O)c2cccc(OCC(F)F)n2)CC1
CC1CCN(C(=O)c2cnc(-c3ccccn3)nc2N)CC1,CC1CCN(C(=O)c2cnc(-c3ccccn3)nc2N)CC1
Cn1c(SCC(=O)Nc2nccs2)nc2ccsc2c1=O,Cn1c(SCC(=O)Nc2nccs2)nc2ccsc2c1=O
Cc1nn(C)c(N(CC(F)(F)F)C(C)C)c1CO,Cc1nn(C)c(N(CC(F)(F)F)C(C)C)c1CO
CC(C)CNC(=O)CCNc1nc(-c2ccco2)nc2ccccc12,CC(C)CNC(=O)CCNc1nc(-c2ccco2)nc2ccccc12
CC(=O)N1CCc2cc(C(=O)N3CCCC3c3cnn(C)c3)ccc21,CC(=O)N1CCc2cc(C(=O)N3CCCC3c3cnn(C)c3)ccc21
CC(C)C(=O)NCCNC(=O)CC1CC2CCC1C2,CC(C)C(=O)NCCNC(=O)CC1CC2CCC1C2
CCN(CC(=O)NC(C)C)C(=O)c1ccccc1F,CCN(CC(=O)NC(C)C)C(=O)c1ccccc1F
Cc1ccc2ncc(C(=O)NCC3CCCN3S(C)(=O)=O)n2c1,Cc1ccc2ncc(C(=O)NCC3CCCN3S(C)(=O)=O)n2c1
CCc1ccc(C(=O)Nc2ccccc2SCC(N)=O)cc1,CCc1ccc(C(=O)Nc2ccccc2SCC(N)=O)cc1
FC(F)CN1CCN(CCOc2ccccc2)CC1,FC(F)CN1CCN(CCOc2ccccc2)CC1
N#CC(c1ccc(N)cn1)c1c(F)cccc1Cl,N#CC(c1ccc(N)cn1)c1c(F)cccc1Cl
O=C(NCCCc1ccccn1)C(c1cccnc1)N1CCCC1,O=C(NCCCc1ccccn1)C(c1cccnc1)N1CCCC1
CCC(C(=O)NCc1ncc[nH]1)N1CC(C(C)=O)c2ccccc21,CCC(C(=O)NCc1ncc[nH]1)N1CC(C(C)=O)c2ccccc21
O=C(CCc1ccccc1F)NCc1ccnc(OC2CCC2)c1,O=C(CCc1ccccc1F)NCc1ccnc(OC2CCC2)c1
COc1ccc(S(=O)(=O)NCc2cnn(C)c2C)cc1,COc1ccc(S(=O)(=O)NCc2cnn(C)c2C)cc1
COc1cccc(OC)c1C(=O)N1CCCC1c1cc(C(C)C)no1,COc1cccc(OC)c1C(=O)N1CCCC1c1cc(C(C)C)no1
COc1ccc(Cl)cc1N1CC(C(=O)NCCC(C)C)CC1=O,COc1ccc(Cl)cc1N1CC(C(=O)NCCC(C)C)CC1=O
Cc1ccc(Nc2nc(NCCCO)nc3c2cnn3C)cc1Cl,Cc1ccc(Nc2nc(NCCCO)nc3c2cnn3C)cc1Cl
CCC(C)NC(=O)c1nc2c3c4c(sc3ncn2n1)CCCC4,CCC(C)NC(=O)c1nc2c3c4c(sc3ncn2n1)CCCC4
Cc1nc(-c2ccc(C(=O)Nc3ccc4c(c3)OCO4)cc2)no1,Cc1nc(-c2ccc(C(=O)Nc3ccc4c(c3)OCO4)cc2)no1
COc1ccc2oc(=O)c(C(=O)Nc3cccc(F)c3)cc2c1,COc1ccc2oc(=O)c(C(=O)Nc3cccc(F)c3)cc2c1
CN(CCC(F)(F)F)C(=O)CCc1cc(F)ccc1F,CN(CCC(F)(F)F)C(=O)CCc1cc(F)ccc1F
